window_start,device_mac,pkt_count,byte_count,mean_iat,std_iat,arp_req_count,arp_req_rate,arp_reply_count,arp_reply_rate,broadcast_ratio,avg_response_latency,send_recv_ratio
1785313143.519992,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313143.519992,08:00:27:8a:0d:75,5,490,1.0669342279434204,0.08167614993117595,0,0.0,0,0.0,0.0,,1.0
1785313143.519992,08:00:27:a5:9e:2d,5,490,1.0669606924057007,0.08171045473391923,0,0.0,0,0.0,0.0,0.00012903213500976564,1.0
1785313148.519992,08:00:27:5a:87:bc,10,532,0.11566098531087239,0.317276027358346,4,0.8,2,0.4,0.4,0.0004959702491760254,1.2201834862385321
1785313148.519992,08:00:27:8a:0d:75,10,790,0.5173423290252686,0.47530154874709285,1,0.2,3,0.6,0.0,,1.0477453580901857
1785313148.519992,08:00:27:a5:9e:2d,10,790,0.5174482133653429,0.47707123135086077,1,0.2,3,0.6,0.0,0.00015246868133544922,1.0477453580901857
1785313153.519992,08:00:27:5a:87:bc,8,336,0.43307341848100933,0.5000020184867902,0,0.0,8,1.6,0.0,,10.0
1785313153.519992,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313153.519992,08:00:27:a5:9e:2d,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313158.519992,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313158.519992,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313158.519992,08:00:27:a5:9e:2d,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313163.519992,08:00:27:5a:87:bc,2,84,3.0040740966796875e-05,0.0,0,0.0,2,0.4,0.0,,10.0
1785313163.519992,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313163.519992,08:00:27:a5:9e:2d,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313168.519992,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313168.519992,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313168.519992,08:00:27:a5:9e:2d,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313173.519992,08:00:27:5a:87:bc,2,84,4.696846008300781e-05,0.0,0,0.0,2,0.4,0.0,,10.0
1785313173.519992,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313173.519992,08:00:27:a5:9e:2d,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313178.519992,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313178.519992,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313178.519992,08:00:27:a5:9e:2d,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313183.519992,08:00:27:5a:87:bc,4,280,0.4127630392710368,0.5831629793248357,0,0.0,2,0.4,0.0,0.0004900693893432617,1.4285714285714286
1785313183.519992,08:00:27:8a:0d:75,1,98,,,0,0.0,0,0.0,0.0,,0.7
1785313183.519992,08:00:27:a5:9e:2d,1,98,,,0,0.0,0,0.0,0.0,,0.7
1785313188.519992,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313188.519992,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313188.519992,08:00:27:a5:9e:2d,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313193.519992,08:00:27:5a:87:bc,2,84,3.0994415283203125e-05,0.0,0,0.0,2,0.4,0.0,,10.0
1785313193.519992,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313193.519992,08:00:27:a5:9e:2d,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313198.519992,08:00:27:5a:87:bc,4,392,0.33638763427734375,0.4732262254130884,0,0.0,0,0.0,0.0,0.000996410846710205,1.0
1785313198.519992,08:00:27:8a:0d:75,2,196,1.005798101425171,0.0,0,0.0,0,0.0,0.0,,1.0
1785313198.519992,08:00:27:a5:9e:2d,2,196,1.0066308975219727,0.0,0,0.0,0,0.0,0.0,,1.0
1785313203.519992,08:00:27:5a:87:bc,14,1148,0.30820446747999924,0.43297820492579564,2,0.4,2,0.4,0.0,0.0006968259811401367,1.0436363636363637
1785313203.519992,08:00:27:8a:0d:75,6,550,0.8009622097015381,0.30885378002634944,0,0.0,1,0.2,0.0,,0.9581881533101045
1785313203.519992,08:00:27:a5:9e:2d,6,550,0.8010046005249023,0.3098325695933409,0,0.0,1,0.2,0.0,,0.9581881533101045
1785313208.519992,08:00:27:5a:87:bc,10,980,0.44502168231540257,0.49646735193120256,0,0.0,0,0.0,0.0,0.0006491661071777344,1.0
1785313208.519992,08:00:27:8a:0d:75,5,490,1.0010765194892883,0.00039109010263565814,0,0.0,0,0.0,0.0,,1.0
1785313208.519992,08:00:27:a5:9e:2d,5,490,1.0009552836418152,0.0003478715549886655,0,0.0,0,0.0,0.0,,1.0
1785313213.519992,08:00:27:5a:87:bc,12,1064,0.36409326033158734,0.47502706029319836,0,0.0,2,0.4,0.0,0.0008963108062744141,1.0857142857142856
1785313213.519992,08:00:27:8a:0d:75,5,490,1.0010502338409424,0.00022878706976909747,0,0.0,0,0.0,0.0,,0.9210526315789473
