window_start,device_mac,pkt_count,byte_count,mean_iat,std_iat,arp_req_count,arp_req_rate,arp_reply_count,arp_reply_rate,broadcast_ratio,avg_response_latency,send_recv_ratio
1785423526.155571,08:00:27:34:35:33,5,490,1.0245282649993896,0.0008095514526802537,0,0.0,0,0.0,0.0,0.00011281967163085937,1.0
1785423526.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423526.155571,08:00:27:8a:0d:75,5,490,1.0158112049102783,0.008043485775374741,0,0.0,0,0.0,0.0,,1.0
1785423526.155571,08:00:27:9c:f0:f1,5,490,1.0245395302772522,0.0007138761562219501,0,0.0,0,0.0,0.0,,1.0
1785423526.155571,08:00:27:a5:9e:2d,5,490,1.0158772468566895,0.008122854374922276,0,0.0,0,0.0,0.0,0.00013513565063476561,1.0
1785423531.155571,08:00:27:34:35:33,3,294,1.024179458618164,0.0001575946807861328,0,0.0,0,0.0,0.0,0.008144060770670572,1.0
1785423531.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423531.155571,08:00:27:8a:0d:75,2,196,1.0241079330444336,0.0,0,0.0,0,0.0,0.0,,1.0
1785423531.155571,08:00:27:9c:f0:f1,5,490,1.1675062775611877,0.2703030907922661,0,0.0,0,0.0,0.0,8.654594421386719e-05,1.0
1785423531.155571,08:00:27:a5:9e:2d,4,392,1.4619456926981609,0.6289571703397498,0,0.0,0,0.0,0.0,0.0001035928726196289,1.0
1785423536.155571,08:00:27:34:35:33,5,490,1.0246917605400085,0.002913440616808411,0,0.0,0,0.0,0.0,9.884834289550782e-05,1.0
1785423536.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423536.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423536.155571,08:00:27:9c:f0:f1,10,980,0.5290355417463515,0.14869611976817962,0,0.0,0,0.0,0.0,0.00012540817260742188,1.0
1785423536.155571,08:00:27:a5:9e:2d,5,490,1.0240525007247925,0.00029217263023553145,0,0.0,0,0.0,0.0,,1.0
1785423541.155571,08:00:27:34:35:33,7,610,0.6826696395874023,0.4322221528494859,1,0.2,1,0.2,0.0,9.722709655761719e-05,1.0
1785423541.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423541.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423541.155571,08:00:27:9c:f0:f1,16,1390,0.27306793530782064,0.25661179772248005,1,0.2,1,0.2,0.0,0.00015362103780110678,0.5307369224894998
1785423541.155571,08:00:27:a5:9e:2d,8,2009,0.441115140914917,0.5018125373077772,0,0.0,0,0.0,0.0,,2.575641025641026
1785423546.155571,08:00:27:34:35:33,6,569,0.6021078109741211,1.2028367282235892,0,0.0,0,0.0,0.0,9.5367431640625e-07,0.8175287356321839
1785423546.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423546.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423546.155571,08:00:27:9c:f0:f1,16,1574,0.2726065317789714,0.3758055971590895,0,0.0,0,0.0,0.0,0.00012505054473876953,0.5881913303437967
1785423546.155571,08:00:27:a5:9e:2d,9,2107,0.5111271440982819,0.5056564979921349,0,0.0,0,0.0,0.0,,2.3997722095671983
1785423551.155571,08:00:27:34:35:33,5,490,1.0260429978370667,0.0035924316570082404,0,0.0,0,0.0,0.0,0.0001418590545654297,1.0
1785423551.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423551.155571,08:00:27:8a:0d:75,6,486,0.004397010803222657,0.008596480583652769,0,0.0,0,0.0,0.0,,0.28338192419825076
1785423551.155571,08:00:27:9c:f0:f1,10,980,0.4881984392801921,0.21457129900645464,0,0.0,0,0.0,0.0,0.002417755126953125,1.0
1785423551.155571,08:00:27:a5:9e:2d,10,2205,0.45379845301310223,0.48679698740510124,0,0.0,0,0.0,0.0,,2.25922131147541
1785423556.155571,08:00:27:34:35:33,22,1669,0.19226419358026414,0.6664445941757573,0,0.0,0,0.0,0.0,5.245208740234375e-05,0.006313957667353926
1785423556.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423556.155571,08:00:27:8a:0d:75,1,60,,,1,0.2,0,0.0,0.0,,1.0
1785423556.155571,08:00:27:9c:f0:f1,29,264335,0.14419936282294138,0.583153295033058,0,0.0,0,0.0,0.0,,158.3792690233673
1785423556.155571,08:00:27:a5:9e:2d,1,60,,,0,0.0,1,0.2,0.0,,1.0
1785423561.155571,08:00:27:34:35:33,28,2142,0.11138603422376844,0.5670235395458378,0,0.0,0,0.0,0.0,,0.008080975753300109
1785423561.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423561.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423561.155571,08:00:27:9c:f0:f1,49,266039,0.09082166850566864,0.45030387813000616,0,0.0,0,0.0,0.0,,47.7456927494616
1785423561.155571,08:00:27:a5:9e:2d,10,3430,0.11749577522277832,0.31662058565137857,0,0.0,0,0.0,0.0,,3.52880658436214
1785423566.155571,08:00:27:34:35:33,65,4749,0.06282896921038628,0.3910253832363438,0,0.0,0,0.0,0.0,,0.005983587657858231
1785423566.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423566.155571,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
